run_id,protocol,temperature_regime,dwell_strategy,isotope,precursor_state,formation_anchor_gpa,pressure_ladder_gpa,mandatory_measurements,promotion_signal,kill_signal
"QMRH6-01","cold_fast","cryogenic","minimal dwell; fastest safe decompression","H","crystalline","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-02","cold_fast","cryogenic","minimal dwell; fastest safe decompression","H","disordered","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-03","cold_fast","cryogenic","minimal dwell; fastest safe decompression","D","crystalline","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-04","cold_fast","cryogenic","minimal dwell; fastest safe decompression","D","disordered","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-05","cold_staged","cryogenic","registered dwell at each pressure stop","H","crystalline","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-06","cold_staged","cryogenic","registered dwell at each pressure stop","H","disordered","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-07","cold_staged","cryogenic","registered dwell at each pressure stop","D","crystalline","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-08","cold_staged","cryogenic","registered dwell at each pressure stop","D","disordered","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-09","warm_staged","warmer_control","registered dwell at each pressure stop","H","crystalline","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-10","warm_staged","warmer_control","registered dwell at each pressure stop","H","disordered","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-11","warm_staged","warmer_control","registered dwell at each pressure stop","D","crystalline","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
"QMRH6-12","warm_staged","warmer_control","registered dwell at each pressure stop","D","disordered","30","30|20|15|10|5|2|1|0","phase_fingerprint|four_probe_transport|elapsed_time|pressure|temperature","verified H6 fingerprint reaches lower pressure with same-state superconducting signature","H6 fingerprint disappears before transport anomaly or no preparation-path variable shifts retention floor"
